标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
北大资源博雅1898 3室1厅 南,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年,0,14,3室1厅,114.83平米,南,精装,中楼层(共25层),,塔楼,4900000.0,42672
原装电梯小区房，环境安静，业主自住，生活方便。,金花苑 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,2室2厅,80.52平米,北,精装,低楼层(共25层),1999年,塔楼,2890000.0,35892
11号线旁鹤洞东 保利次新房 三房长阳台户型南向,保利碧桂园·公园大道 ,广钢新城,VR房源,1,1个月以前发布,3室2厅,110.58平米,西南,精装,中楼层(共38层),2017年,板楼,5300000.0,47930
阳光两房 舒适宜居  这套两房大到无法想象,长乐花苑二期 ,西村,近地铁 VR看装修 房本满五年,0,9,2室1厅,94.4平米,西南,简装,高楼层(共32层),1990年,塔楼,3100000.0,32839
荷柳苑 高楼层 户型方正 视野开阔,荷柳苑 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,2,11个月以前发布,2室1厅,54.88平米,东,简装,高楼层(共9层),1997年,塔楼,1760000.0,32070
龙锦大厦高层靓房 陈家祠 西门口次新楼 南北对流,龙锦大厦 ,龙津,近地铁 VR看装修 房本满五年,1,1个月以前发布,2室1厅,82.6平米,南北,精装,高楼层(共31层),2008年,塔楼,2990000.0,36199
加装电梯，全明三房厅出阳台，随时能看房,龙津东路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,3,4个月以前发布,3室1厅,72.12平米,北西南,其他,中楼层(共8层),,塔楼,1950000.0,27039
封闭式管理小区，电梯房 有平台 大三房 户型方正,桥东小区 ,滘口,近地铁 VR看装修 房本满五年 随时看房,1,7个月以前发布,3室1厅,88.02平米,东东北,简装,低楼层(共9层),1995年,塔楼,1880000.0,21359
采光通风好，低密度居住舒适，五号线滘口站,荔江美筑 ,滘口,近地铁 VR看装修 房本满五年,3,4个月以前发布,3室2厅,102.05平米,东南,其他,中楼层(共24层),2011年,塔楼,3360000.0,32926
荔湾南湾 间隔方正 安静舒适 西南向 装修保养好 单边,城启荔港南湾 ,南岸路,近地铁 VR看装修 房本满五年,3,2个月以前发布,3室2厅,98.57平米,东南,精装,低楼层(共28层),2008年,塔楼,3500000.0,35508
西平里4总家底，业主诚意出。看房6点后,站前路(荔湾) ,流花站前,VR看装修 房本满五年 随时看房,2,4个月以前发布,1室1厅,42.11平米,东北,简装,中楼层(共9层),,塔楼,800000.0,18998
西村50米电梯三房 全面格局  一梯两户 采光充足视野好,广雅路 ,西村,近地铁 VR看装修 房本满五年 随时看房,3,4个月以前发布,3室1厅,74.33平米,东,其他,高楼层(共9层),,塔楼,2270000.0,30540
悦江上品 东向两房 户型方正 视野好 光线充足,悦江上品苑 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,7,4个月以前发布,2室2厅,78.28平米,南,精装,高楼层(共26层),2016年,塔楼,3000000.0,38324
翠竹苑 实用大三房 高层单位 通风采光好,恒利翠竹苑 ,鹤洞,近地铁 VR看装修 房本满五年,3,1个月以前发布,3室1厅,106.76平米,东,其他,高楼层(共33层),2007年,塔楼,3150000.0,29506
品牌物业管理好 精装修自住保养好 户型方正 实用率高,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室2厅,74.19平米,东北,精装,28层,2012年,塔楼,2390000.0,32215
近公交近地铁  配套成熟 小区环境安静舒适,芳雅苑 ,滘口,VR看装修 房本满五年,1,2个月以前发布,2室1厅,57.27平米,南北,简装,中楼层(共9层),1995年,塔楼,1180000.0,20605
电梯两房 全明户型 近地铁口 东南向 小区安静,环市西路 ,流花站前,近地铁 VR看装修 房本满五年,2,一年前发布,2室2厅,66平米,东南,简装,中楼层(共9层),,塔楼,1350000.0,20455
低密度次新小区  免重税 环境优美 刚需上车必看,力诚欣悦湾 ,茶滘,VR看装修 房本满两年,13,一年前发布,3室2厅,90.04平米,西北,精装,高楼层(共31层),2018年,塔楼,2680000.0,29765
北大资源博雅1898 3室1厅 南,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年,0,14,3室1厅,114.83平米,南,精装,中楼层(共25层),,塔楼,4900000.0,42672
龙津大厦  中高层3房电梯  陈家祠双地铁   满五年物业,龙津大厦 ,龙津,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室1厅,96平米,西南,简装,中楼层(共32层),1997年,塔楼,3150000.0,32813
中海花湾壹号 靓楼层 视野开阔大3房 配套成熟,中海锦汇华庭（A区） ,广钢新城,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,121.59平米,西南,精装,中楼层(共60层),,板楼,4400000.0,36188
荷柳苑 高楼层 户型方正 视野开阔,荷柳苑 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,2,11个月以前发布,2室1厅,54.88平米,东,简装,高楼层(共9层),1997年,塔楼,1760000.0,32070
宏新华庭  舒适两房 楼龄2010年 ￥有缘即可卖,宏新华庭 ,龙津,近地铁 VR房源 房本满两年 随时看房,6,8个月以前发布,2室2厅,80.1平米,西北,精装,低楼层(共32层),2010年,塔楼,3590000.0,44819
西门口广场 三房两卫 花园式小区 东南看花园空中泳池,西门口广场 ,西华路,近地铁 VR看装修 随时看房,4,2个月以前发布,3室2厅,103.73平米,东南,精装,中楼层(共23层),2005年,塔楼,5300000.0,51095
现代轻奢风大三房127方 已封窗（原4房改3房）,葛洲坝广州紫郡府 ,广钢新城,VR看装修 房本满两年,5,2个月以前发布,3室1厅,127.71平米,东,精装,中楼层(共25层),,塔楼,5790000.0,45338
原装电梯小区房，环境安静，业主自住，生活方便。,金花苑 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,2室2厅,80.52平米,北,精装,低楼层(共25层),1999年,塔楼,2890000.0,35892
阳光两房 舒适宜居  这套两房大到无法想象,长乐花苑二期 ,西村,近地铁 VR看装修 房本满五年,0,9,2室1厅,94.4平米,西南,简装,高楼层(共32层),1990年,塔楼,3100000.0,32839
中山七路 林业厅宿舍 电梯3房 通风对流 近陈家祠地铁,中山七路 ,龙津,近地铁 VR看装修 随时看房,1,2个月以前发布,3室1厅,83.99平米,东南,简装,低楼层(共9层),,板楼,2500000.0,29766
悦江上品 东向两房 户型方正 视野好 光线充足,悦江上品苑 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,7,4个月以前发布,2室2厅,78.28平米,南,精装,高楼层(共26层),2016年,塔楼,3000000.0,38324
龙锦大厦高层靓房 陈家祠 西门口次新楼 南北对流,龙锦大厦 ,龙津,近地铁 VR看装修 房本满五年,1,1个月以前发布,2室1厅,82.6平米,南北,精装,高楼层(共31层),2008年,塔楼,2990000.0,36199
南源花园 封闭小区 绿化好 采光通风好,南源花园 ,南岸路,近地铁 VR看装修 房本满五年,0,8个月以前发布,1室1厅,42.82平米,南,简装,低楼层(共17层),1998年,塔楼,1430000.0,33396
业主诚意出，楼层视野好。户型方正,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满两年,5,6个月以前发布,3室1厅,90.54平米,东,精装,低楼层(共25层),1999年,塔楼,2880000.0,31810
方正户型，厅出阳台朝东向，采光通风好，楼层适中,环翠园 ,南岸路,近地铁 VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,63.18平米,东,简装,低楼层(共9层),,塔楼,1260000.0,19944
业主急出 本芳和花园房子已经赎回是商品房,芳和花园 ,坑口,近地铁 VR看装修 房本满两年 随时看房,3,6个月以前发布,2室1厅,66.26平米,北,精装,低楼层(共31层),,塔楼,1850000.0,27921
南京大院西村5/8号线，电梯高层两房，军区小区管理好,南京路14号大院 ,西村,近地铁 VR房源 房本满五年,3,一年前发布,2室1厅,71.24平米,南,简装,高楼层(共9层),,塔楼,2900000.0,40708
富力环市西苑 高层方正两房 视野开阔 采光好 安静,富力环市西苑 ,西村,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室2厅,65.41平米,西南,简装,高楼层(共15层),2000年,塔楼,3100000.0,47394
48方一房可以动两房 东南向  楼新业主诚信出,牡丹阁 ,茶滘,VR看装修 房本满五年,0,11,1室1厅,48平米,东南,简装,中楼层(共9层),2000年,塔楼,818000.0,17042
可公积 金近地铁 新装修 满五唯一，南北对流格局,和平南小区 ,西场,近地铁 VR看装修 房本满五年,113,一年前发布,2室1厅,57.57平米,南,精装,高楼层(共8层),,暂无数据,1400000.0,24319
凯粤湾C区 东南向 中层两房 望花园 安静不吵 阳光充足,新世界凯粤湾 ,滘口,近地铁 VR看装修 房本满五年,6,一年前发布,2室2厅,88.16平米,南,精装,中楼层(共33层),2012年,塔楼,3400000.0,38567
次新房 保利楼盘 拎包入住 视野宽阔 优质房源,保利花海湾 ,茶滘,VR看装修 房本满两年 随时看房,10,9个月以前发布,3室2厅,88.49平米,东南,精装,中楼层(共26层),2021年,塔楼,2980000.0,33677
四地铁配套，高层东南向，装修保养好,四季花园 ,坑口,近地铁 VR房源 房本满五年 随时看房,5,3个月以前发布,3室1厅,94.13平米,东南,精装,高楼层(共18层),2005年,塔楼,2850000.0,30278
四季花园大型封闭管理小区，二楼带平台，西南向望花园,四季花园 ,坑口,近地铁 VR看装修 房本满五年,24,一年前发布,3室2厅,94.73平米,西南,简装,低楼层(共18层),2008年,塔楼,2800000.0,29558
怡芳苑 大户型 电梯四房 可间隔两套,怡芳苑 ,芳村,近地铁 VR房源 房本满五年 随时看房,5,1个月以前发布,3室1厅,137.11平米,东南南,简装,中楼层(共9层),1995年,塔楼,3080000.0,22464
高层视野优 看小区园林 广钢公园,保利和光晨樾 ,广钢新城,VR看装修 房本满两年 随时看房,5,8个月以前发布,3室2厅,104.84平米,北,精装,高楼层(共39层),塔楼,,4450000.0,42446
荔港南湾 东北向望花园大两房 采光好,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满两年 随时看房,6,一年前发布,2室1厅,75.29平米,东北,简装,中楼层(共33层),塔楼,2008年,2600000.0,34534
方正户型，厅出阳台朝东向，采光通风好，楼层适中,环翠园 ,南岸路,近地铁 VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,63.18平米,东,简装,低楼层(共9层),塔楼,,1260000.0,19944
西村双地铁300米 电梯三房 框架结构 过五唯一,环市西路 ,流花站前,近地铁 VR房源 房本满五年 随时看房,6,6个月以前发布,3室1厅,81.87平米,东北,简装,高楼层(共9层),塔楼,,1950000.0,23819
南源花园 封闭小区 绿化好 采光通风好,南源花园 ,南岸路,近地铁 VR看装修 房本满五年,0,8个月以前发布,1室1厅,42.82平米,南,简装,低楼层(共17层),塔楼,1998年,1430000.0,33396
恒宝华庭 方正实用房 南向单位,恒宝华庭 ,西关,近地铁 VR看装修 随时看房,1,6个月以前发布,2室1厅,67.47平米,南北,精装,中楼层(共31层),板塔结合,2000年,3080000.0,45650
富力广场S区 楼龄新 南北对流 日照充足,富力广场S区 ,中山八,近地铁 VR房源 房本满五年 随时看房,2,19,2室1厅,76.28平米,东,简装,中楼层(共18层),塔楼,2005年,3650000.0,47851
1号线地铁+少有放盘+永庆坊是后花园+刚需+老人家必看,多宝路 ,西关,近地铁 VR看装修 房本满五年 随时看房,2,8,2室1厅,57.16平米,东南,简装,低楼层(共9层),塔楼,,1680000.0,29392
西南望江户型，好楼层，看房方便，随约随看,花语水岸 ,大坦沙,近地铁 VR房源 房本满五年 随时看房,4,1个月以前发布,4室1厅,152.34平米,南,其他,26层,塔楼,2015年,6490000.0,42603
格局方正，电梯，改两房，上车盘，业主诚心卖,西湾东路 ,西村,近地铁 VR看装修 房本满五年 随时看房,1,5个月以前发布,1室1厅,39.85平米,东北,其他,中楼层(共9层),塔楼,,1260000.0,31619
白鹅潭商圈，二梯四户，南北对流，观景大阳台，望园林,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年,5,2个月以前发布,3室2厅,112.66平米,南北,精装,中楼层(共15层),塔楼,2008年,3100000.0,27517
业主急出 本芳和花园房子已经赎回是商品房,芳和花园 ,坑口,近地铁 VR看装修 房本满两年 随时看房,3,6个月以前发布,2室1厅,66.26平米,北,精装,低楼层(共31层),塔楼,,1850000.0,27921
中海花湾D区 中高层通风采光好 视野开阔,中海锦观华庭D区 ,广钢新城,近地铁 VR看装修 房本满五年 随时看房,4,3个月以前发布,3室1厅,96.64平米,东,简装,中楼层(共26层),塔楼,,4100000.0,42426
怡芳苑 大户型 电梯四房 可间隔两套,怡芳苑 ,芳村,近地铁 VR房源 房本满五年 随时看房,5,1个月以前发布,3室1厅,137.11平米,东南南,简装,中楼层(共9层),塔楼,1995年,3080000.0,22464
正规两房 厅出阳台 采光面好 长寿路地铁站,城启晴轩 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,2室1厅,65.14平米,西,简装,26层,塔楼,2003年,2680000.0,41143
凯粤湾B区 望花园 三房两卫 高层 南北对流 安静不吵,新世界凯粤湾 ,滘口,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,124.66平米,西北,精装,高楼层(共33层),塔楼,2018年,4360000.0,34976
凯粤湾精装江景2房，带全屋家私电器，拎包入住,新世界凯粤湾 ,滘口,近地铁 VR房源 房本满五年 随时看房,0,13,2室1厅,84平米,东北,精装,中楼层(共33层),塔楼,2015年,3200000.0,38096
凯粤湾B区 高层视野开阔 东南向三房两卫 阳光充足,新世界凯粤湾 ,滘口,近地铁 VR看装修 房本满五年,1,21,3室1厅,106.11平米,东南,精装,高楼层(共33层),塔楼,2019年,4500000.0,42409
凯粤湾B区 西北向三房 视野开阔 南北对流 户型方正,新世界凯粤湾 ,滘口,近地铁 VR看装修 房本满五年,5,7个月以前发布,3室1厅,90.02平米,西北,精装,低楼层(共33层),塔楼,2019年,3600000.0,39992
君荟名轩 双地铁口 配套成熟 格局方正 协和,君荟名轩 ,西村,近地铁 VR看装修 房本满五年,0,2个月以前发布,2室2厅,84.45平米,北,精装,中楼层(共22层),塔楼,,3860000.0,45708
四地铁配套，高层东南向，装修保养好,四季花园 ,坑口,近地铁 VR房源 房本满五年 随时看房,5,3个月以前发布,3室1厅,94.13平米,东南,精装,高楼层(共18层),塔楼,2005年,2850000.0,30278
四季花园大型封闭管理小区，二楼带平台，西南向望花园,四季花园 ,坑口,近地铁 VR看装修 房本满五年,24,一年前发布,3室2厅,94.73平米,西南,简装,低楼层(共18层),塔楼,2008年,2800000.0,29558
次新房 保利楼盘 拎包入住 视野宽阔 优质房源,保利花海湾 ,茶滘,VR看装修 房本满两年 随时看房,10,9个月以前发布,3室2厅,88.49平米,东南,精装,中楼层(共26层),塔楼,2021年,2980000.0,33677
富力环市西苑 高层方正两房 视野开阔 采光好 安静,富力环市西苑 ,西村,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室2厅,65.41平米,西南,简装,高楼层(共15层),塔楼,2000年,3100000.0,47394
业主诚意出，楼层视野好。户型方正,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满两年,5,6个月以前发布,3室1厅,90.54平米,东,精装,低楼层(共25层),塔楼,1999年,2880000.0,31810
南京大院西村5/8号线，电梯高层两房，军区小区管理好,南京路14号大院 ,西村,近地铁 VR房源 房本满五年,3,一年前发布,2室1厅,71.24平米,南,简装,高楼层(共9层),塔楼,,2900000.0,40708
龙1津东路南向两房业主装修保养好厅出阳台采光充足,龙津东路 ,龙津,近地铁 VR看装修 房本满两年,8,10个月以前发布,2室1厅,50.87平米,北,精装,中楼层(共9层),塔楼,1988年,1190000.0,23393
大岗元北 精装两房 产权清晰 安静舒适 业主诚意卖,西湾路 ,西村,近地铁 VR看装修 房本满五年,1,31,2室1厅,52.36平米,南,精装,低楼层(共3层),平房,2016年,1200000.0,22919
文昌雅居  三房两厅两卫 客厅南北对流,文昌雅居 ,龙津,VR看装修 房本满五年,0,30,3室2厅,93.05平米,南北,简装,高楼层(共32层),塔楼,2005年,4280000.0,45997
品牌物业管理好 精装修自住保养好 户型方正 实用率高,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室2厅,74.19平米,东北,精装,28层,塔楼,2012年,2390000.0,32215
3楼一房一厅  桨栏路 刚需户型 框架结构,桨栏路 ,人民路,近地铁 VR看装修 房本满五年,3,7个月以前发布,1室1厅,28.52平米,南,简装,中楼层(共6层),平房,,630000.0,22090
近地铁 电梯一房 生活配套成熟 交通便利,多宝华厦 ,西关,近地铁 VR看装修 房本满五年,28,一年前发布,1室0厅,25.2平米,东,精装,中楼层(共33层),塔楼,2000年,960000.0,38096
珠岛一期电梯一房 南向 通风采光好 满五唯一低税费,珠岛花园 ,大坦沙,近地铁 VR房源 房本满五年,38,一年前发布,1室1厅,25.25平米,南,精装,高楼层(共9层),板塔结合,1995年,750000.0,29703
多宝路 一房一厅 新装修 底层  永庆坊位置,多宝路 ,西关,近地铁 VR看装修 房本满两年,1,8个月以前发布,1室1厅,26.85平米,东,其他,中楼层(共6层),板楼,1990年,850000.0,31658
小面积上车盘，轻松做业主!!!!!!,珠岛花园 ,大坦沙,近地铁 VR看装修,3,6个月以前发布,1室1厅,25.73平米,南北,简装,高楼层(共9层),板塔结合,1995年,680000.0,26429
逢源北街  方正实用大单间 采光通风好,逢源路 ,龙津,近地铁 VR看装修 房本满五年,0,3个月以前发布,1室1厅,29.35平米,东西,简装,低楼层(共9层),塔楼,,780000.0,26576
文昌南路 方正实用户型 保养新净,文昌南路 ,西关,近地铁 VR看装修 房本满两年,4,一年前发布,1室1厅,29.84平米,东,其他,高楼层(共9层),塔楼,1988年,600000.0,20108
珠岛花园 楼梯低层 实用一房小户型,珠岛花园 ,大坦沙,近地铁 VR看装修 房本满两年 随时看房,0,6个月以前发布,1室0厅,25.03平米,北,简装,低楼层(共9层),板塔结合,1995年,690000.0,27567
4方不入证使用 步梯三楼 江！江！江边！,如意坊路 ,黄沙,近地铁 VR看装修 随时看房,1,2个月以前发布,1室1厅,28.5平米,东,其他,中楼层(共7层),塔楼,,600000.0,21053
长寿路站 宝华路 正规一房一厅 通风采光好,宝华路(荔湾) ,西关,近地铁 VR看装修 房本满五年,13,一年前发布,1室1厅,28.98平米,南,精装,高楼层(共8层),塔楼,,600000.0,20704
永庆坊景区旁，环境优美，低层两房，天井可用不入证,多宝路 ,西关,近地铁 VR看装修 房本满五年 随时看房,6,一年前发布,1室1厅,29.34平米,东南,其他,低楼层(共4层),暂无数据,1990年,796000.0,27131
西培门口双地铁-楼下双景区-底层两房 新装修拎包入住,龙津西路 ,西关,近地铁 VR房源 房本满五年,1,一年前发布,1室1厅,25.06平米,南,精装,中楼层(共4层),塔楼,,990000.0,39506
司马街平层电梯，框架结构，可以公积金，一房一厅。,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,17,1室1厅,28.3平米,南,简装,高楼层(共9层),塔楼,1994年,980000.0,34629
西华路美食一条街，彩虹桥地铁站300米。,西华路 ,西华路,近地铁 VR看装修 房本满五年,0,9个月以前发布,1室1厅,26.59平米,东,简装,中楼层(共8层),塔楼,,850000.0,31967
安静舒适 租房月供额，就可以买房供。,金道花园 ,鹤洞,近地铁 VR房源 房本满五年,0,5个月以前发布,1室0厅,29.62平米,南,简装,中楼层(共9层),塔楼,2000年,720000.0,24308
中层细积 户型方正 越秀区八一希望,西华路 ,西华路,近地铁 VR看装修 房本满五年,5,一年前发布,1室1厅,29.87平米,南,其他,中楼层(共9层),塔楼,1995年,820000.0,27453
电梯一房 格局方正 小区环境好,怡福花园 ,滘口,VR房源 房本满五年 随时看房,1,6个月以前发布,1室0厅,28.95平米,西南,其他,中楼层(共9层),塔楼,1999年,770000.0,26598
一房刚需上车，业主急出，近地铁11号线石围塘地铁站,金达阁 ,芳村,VR看装修 房本满五年,6,一年前发布,1室1厅,26.88平米,西北,精装,中楼层(共9层),塔楼,1998年,670000.0,24926
这个房子在越秀区，南向通风好，业主诚心出，看房方便,西华路 ,西华路,近地铁 VR房源 房本满五年,1,一年前发布,1室0厅,29.31平米,东南,精装,高楼层(共9层),塔楼,1996年,890000.0,30366
惠城楼梯小户型上车盘 正规一房一厅 东向,惠城花园 ,龙津,近地铁 VR看装修 随时看房,6,5个月以前发布,1室1厅,29.79平米,东,其他,中楼层(共9层),塔楼,1996年,750000.0,25177
芳村地铁 一房一厅 光线好 户型方正 东南朝向,合兴苑 ,芳村,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,27.11平米,东南,简装,高楼层(共8层),板楼,1997年,650000.0,23977
低层 东向 采光好 一房  业主诚意 看房方便,合兴苑 ,芳村,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,27.11平米,东南,简装,中楼层(共8层),板楼,1997年,788000.0,29067
格局好，中层楼层，南向采光好，交通便利,站前路(荔湾) ,流花站前,近地铁 VR看装修 房本满五年,1,一年前发布,1室1厅,29.56平米,东南,其他,高楼层(共6层),塔楼,,960000.0,32477
莲塘前街小区，外围很旺，中楼层，光线好，随时看房,王圣堂莲塘前街4号 ,流花站前,近地铁 VR看装修 房本满五年,16,一年前发布,1室0厅,27平米,西北,精装,高楼层(共7层),板楼,,650000.0,24075
东鹏花园一期 温馨小户型 满五年 产权清晰 中楼层,东鹏花园一期 ,坑口,VR房源 房本满五年 随时看房,2,一年前发布,1室0厅,28.41平米,东,简装,中楼层(共9层),塔楼,1997年,520000.0,18304
西华路 越秀方正一房带阳台 加装电梯使用中,西华路 ,西华路,近地铁 VR看装修 房本满五年,10,一年前发布,1室0厅,28.23平米,北,简装,中楼层(共9层),塔楼,1994年,890000.0,31527
荔湾区彩虹桥地铁站 中低楼层精装修,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,7个月以前发布,1室1厅,28.91平米,南,其他,中楼层(共8层),塔楼,,880000.0,30440
华贵路独栋私房，生活环境好，交通便利,华贵路 ,龙津,近地铁 VR看装修 房本满五年,13,一年前发布,1室1厅,28.2平米,南,简装,低楼层(共3层),暂无数据,,890000.0,31561
东南向无遮挡，格局方正，小区干净封闭管理,芳雅苑 ,滘口,VR看装修 房本满两年 随时看房,2,8个月以前发布,1室1厅,27.15平米,南,简装,高楼层(共9层),塔楼,1995年,680000.0,25047
桃源社区 环境好 户型方正实用 通风采光好,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,3,一年前发布,1室0厅,29.53平米,北,其他,中楼层(共9层),塔楼,1991年,880000.0,29801
满五唯一，近地铁，高楼层，视野开阔,鹤洞路 ,鹤洞,近地铁 VR看装修 房本满五年,0,11个月以前发布,1室1厅,27.49平米,南,其他,高楼层(共8层),塔楼,,780000.0,28374
交通便利，户型正，景观好，受欢迎,金道花园 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,12,9个月以前发布,1室0厅,29.28平米,南,其他,中楼层(共9层),塔楼,2000年,700000.0,23908
此房满五不唯一，商品房，无重税 低楼层,宝源路 ,龙津,近地铁 VR看装修 房本满五年,0,一年前发布,4室1厅,99.42平米,南北,简装,中楼层(共4层),暂无数据,,2980000.0,29974
北大资源博雅1898  东南朝向实用4房 配套完善,北大资源博雅1898 ,广钢新城,近地铁 VR房源 房本满五年,63,一年前发布,4室2厅,94.23平米,南,精装,低楼层(共25层),塔楼,,4990000.0,52956
新净装修 南北对流 厅大房大 通风采光好,西关大厦 ,人民路,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,4室1厅,101.94平米,东,简装,低楼层(共20层),塔楼,1989年,2650000.0,25996
步梯高层一房一厅年轻人上车门槛低,龙津东路 ,龙津,近地铁 VR房源 房本满五年,6,11个月以前发布,1室1厅,29.45平米,南,其他,高楼层(共9层),塔楼,,750000.0,25467
流花湖旁，框架结构，户型方正，采光通风好，看房方便,站前横路 ,流花站前,VR看装修 房本满五年,17,一年前发布,1室1厅,26.19平米,西南,其他,高楼层(共9层),塔楼,,650000.0,24819
过五唯一 芳华苑 在建11号线旁 电梯房 新楼龄,芳华苑 ,芳村,VR看装修 房本满两年,22,一年前发布,1室1厅,28.8平米,东北,精装,高楼层(共9层),塔楼,1999年,720000.0,25000
近地铁 一房一厅 中间楼层 看房方便,中山七路 ,龙津,近地铁 VR房源 房本满五年,4,一年前发布,1室1厅,27.81平米,北,精装,中楼层(共9层),板楼,1990年,950000.0,34161
永庆坊景区 平层电梯 精装大4房 三代同堂,蓬莱路 ,黄沙,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,4室2厅,104.86平米,西北,精装,中楼层(共9层),塔楼,,3580000.0,34141
西门口地铁，细积上车盘、配套成熟,中山七路 ,龙津,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,1室0厅,26.61平米,西,精装,低楼层(共9层),塔楼,,800000.0,30064
东南朝向 三面单边 三个阳台 实用 业主自己装修过,逢源路 ,龙津,近地铁 VR房源 房本满五年,1,一年前发布,4室2厅,95.15平米,东南,精装,中楼层(共9层),塔楼,1991年,2980000.0,31319
桃源小区  微改造社区 光线好 业主急卖 合适即卖,桃源社区 ,龙津,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,28.3平米,北,精装,高楼层(共8层),塔楼,1991年,805000.0,28446
中山七路 小户型  东南向 单间 上车盘,中山七路 ,龙津,近地铁 VR房源 房本满五年,0,一年前发布,1室0厅,26.06平米,东,简装,中楼层(共9层),塔楼,,880000.0,33769
中山七路隆庆社区  满五年唯一 陈家祠地铁站,中山七路 ,龙津,近地铁 VR看装修 房本满五年,7,一年前发布,1室0厅,25.39平米,东,其他,中楼层(共9层),板楼,1990年,759000.0,29894
沙涌新村 1室1厅 北,沙涌新村 ,鹤洞,近地铁 VR房源 房本满五年 随时看房,3,5个月以前发布,1室1厅,29.54平米,北,其他,高楼层(共7层),塔楼,,600000.0,20312
临江小区 封闭式管理 精装修复式两房 个人产权,万科海上传奇 ,芳村,近地铁 房本满两年,0,4个月以前发布,1室1厅,27.64平米,南,精装,低楼层(共17层),板塔结合,2016年,1000000.0,36180
满五年 西华路 精装修精装修低楼层,西华路 ,西华路,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,27.8平米,东,其他,低楼层(共9层),塔楼,,840000.0,30216
【近沙面】【电梯四房】【居家精装修】【拎包入住】,西关大厦 ,人民路,近地铁 VR房源 房本满五年,11,一年前发布,4室2厅,101.48平米,南北,精装,中楼层(共20层),塔楼,1989年,2980000.0,29366
此房已满五，配套设施齐全，格局好，交通便利,流花路 ,流花站前,近地铁 VR看装修 房本满五年,2,3个月以前发布,1室0厅,27.09平米,南北,其他,高楼层(共9层),塔楼,,760000.0,28055
荔湾路 户型方正 上车盘 可公积金,幸福新村 ,周门,近地铁 VR房源 房本满五年,3,一年前发布,1室1厅,26.24平米,东南,其他,高楼层(共8层),塔楼,1990年,820000.0,31251
越秀精装一房近地铁旺中带静收租神器,西华路 ,西华路,近地铁 VR看装修 房本满五年,4,4个月以前发布,1室1厅,29.18平米,南,其他,低楼层(共9层),塔楼,1994年,960000.0,32900
电梯正在装，精装采光好、有阳台花园,芳华苑 ,芳村,VR看装修,3,6个月以前发布,1室1厅,25.23平米,南,精装,低楼层(共9层),塔楼,1999年,793000.0,31431
越秀司马街中楼层 户型方正实用 有钥匙方便看房,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,7个月以前发布,1室1厅,26.09平米,东,其他,中楼层(共9层),塔楼,1994年,700000.0,26831
东鹏花园一期中楼层 满五年非唯一,东鹏花园一期 ,坑口,VR看装修 房本满五年,3,一年前发布,1室1厅,26.72平米,南,其他,高楼层(共8层),塔楼,1997年,630000.0,23578
周门示范社区 加装电梯 一房一厅 近一号线,周门小区周门街 ,周门,VR看装修 房本满五年,2,一年前发布,1室1厅,27.05平米,北,其他,低楼层(共9层),平房,1998年,1000000.0,36969
